ic_number,plate_number,age,months_as_customer,vehicle_age_years,vehicle_make,policy_expired_flag,deductible_amount,market_value,damage_severity_score,repair_amount,at_fault_flag,time_to_report_days,claim_reported_to_police_flag,license_type_missing_flag,num_third_parties,num_witnesses,approval_flag,coverage_amount
581130-94-7014,TGI9493,61,37,4,Proton X70,0,1000.0,110000.0,0.6,32942.77,0,5,1,0,0,2,1,31942.769999999997
440708-70-4649,TOE1634,24,1,7,Proton X70,0,200.0,110000.0,0.65,25224.36,0,8,0,0,1,0,0,0.0
910524-19-6169,YLV0922,39,8,14,Perodua Myvi,0,300.0,50000.0,0.69,10413.01,0,4,1,0,0,1,1,10113.01
670622-41-5134,YPN4650,47,9,5,Honda City,0,300.0,80000.0,0.67,17059.2,0,3,0,0,0,0,1,16759.2
620211-86-7371,QGZ3066,31,52,5,Proton X70,0,200.0,110000.0,0.43,22484.11,0,1,1,0,1,1,1,22284.11
571215-29-7404,KSG0397,18,0,16,Perodua Myvi,0,200.0,50000.0,0.79,17001.21,1,4,1,0,1,0,0,0.0
491026-68-2925,CFB9874,45,15,5,Proton X70,1,500.0,110000.0,0.41,16527.15,1,3,1,0,2,1,0,0.0
670608-28-6108,DOS6571,36,136,15,Honda City,0,200.0,80000.0,0.42,15647.84,0,9,1,0,0,3,1,15447.84
520817-37-5693,IMX6278,25,58,15,BMW 3 Series,0,300.0,250000.0,0.48,55461.76,0,4,0,0,2,1,1,55161.76
500806-11-0474,ENR2909,29,7,7,Perodua Myvi,0,1000.0,50000.0,0.79,13749.14,1,2,1,0,0,1,1,12749.14
870714-66-8269,TEP9986,33,55,10,Toyota Vios,0,300.0,75000.0,0.52,17820.94,0,4,0,0,0,1,1,17520.94
000411-77-0660,FBG2338,29,16,15,Perodua Myvi,1,1000.0,50000.0,0.7,11260.79,1,5,1,0,0,0,0,0.0
531229-51-0684,NNI2962,50,0,7,Proton X70,0,1000.0,110000.0,0.71,29020.34,0,4,0,0,0,2,1,28020.34
790329-28-9779,XCZ8557,48,2,10,Nissan Almera,0,500.0,70000.0,0.51,16031.4,0,3,1,0,0,0,1,15531.4
910325-54-0291,AEX7198,40,51,0,Proton X70,0,500.0,110000.0,0.71,30520.51,0,6,1,0,0,2,1,30020.51
840620-11-7705,AOZ5733,51,25,14,Perodua Myvi,0,500.0,50000.0,0.7,13153.88,1,8,1,0,1,2,1,12653.88
030103-37-9837,ICN2535,30,144,2,Proton X70,0,800.0,110000.0,0.54,25724.25,1,4,1,0,1,0,1,24924.25
750424-33-0298,XQZ1415,34,0,1,Perodua Myvi,0,200.0,50000.0,0.54,8596.96,0,6,1,0,1,1,1,8396.96
700625-02-6538,YWP7735,23,60,8,Perodua Myvi,0,1000.0,50000.0,0.67,15936.61,0,2,1,0,0,3,1,14936.61
450201-25-7877,XVL6633,31,1,9,Perodua Myvi,0,800.0,50000.0,0.76,18924.87,0,5,1,0,1,2,1,18124.87
770922-39-2675,OPF6394,35,8,4,Perodua Myvi,0,300.0,50000.0,0.44,8971.04,0,8,0,0,0,0,0,0.0
590710-89-1871,VSX4812,40,1,8,Perodua Myvi,0,500.0,50000.0,0.65,13687.41,0,8,1,0,0,0,1,13187.41
610329-77-6211,ZKL1006,49,58,5,Honda City,0,800.0,80000.0,0.66,19648.64,0,4,1,0,0,1,1,18848.64
760528-40-1048,ZDJ8983,39,4,6,Proton X70,1,500.0,110000.0,0.78,39065.51,0,7,1,0,0,1,0,0.0
940202-87-0472,VWB5393,24,3,24,BMW 3 Series,0,800.0,250000.0,0.52,50713.64,0,9,0,0,0,2,0,0.0
541023-10-4011,TGB4476,29,1,23,BMW 3 Series,0,300.0,250000.0,0.71,88718.8,0,5,1,0,1,2,1,88418.8
810717-82-6537,FYM7103,45,28,8,Perodua Myvi,0,1000.0,50000.0,0.62,11101.07,1,5,1,0,0,0,1,10101.07
620612-73-2494,VDM7483,47,6,6,Proton X70,0,200.0,110000.0,0.56,18512.65,0,5,1,0,0,3,1,18312.65
480728-72-8602,YRG8901,36,5,4,Proton X70,0,300.0,110000.0,0.51,26912.44,1,6,1,0,1,3,1,26612.44
890424-26-0157,HOE1025,37,5,5,Perodua Myvi,0,300.0,50000.0,0.72,14809.08,0,6,0,0,0,2,1,14509.08
520301-50-2248,KQU4082,43,1,1,Perodua Myvi,0,300.0,50000.0,0.66,13192.68,1,4,1,0,1,3,1,12892.68
980916-39-9809,RUN6405,58,1,8,Perodua Myvi,0,200.0,50000.0,0.73,13287.68,0,3,0,0,2,0,1,13087.68
650124-80-9439,XWR7369,36,23,16,Perodua Myvi,0,1000.0,50000.0,0.64,12051.58,0,3,1,0,0,3,1,11051.58
470816-96-5959,VTM6372,63,40,15,Perodua Myvi,0,300.0,50000.0,0.79,18714.18,0,8,1,0,0,2,1,18414.18
030203-19-5606,XBA3461,57,27,4,Proton X70,0,200.0,110000.0,0.4,17737.24,1,6,1,0,0,1,1,17537.24
841014-22-1840,UXF8910,47,1,20,Perodua Myvi,0,200.0,50000.0,0.42,6505.68,0,1,0,0,0,2,1,6305.68
801126-47-8756,GPZ7807,29,18,3,Nissan Almera,0,800.0,70000.0,0.77,17503.14,0,3,0,0,1,2,1,16703.14
880804-99-1746,UFU8486,35,3,4,Nissan Almera,0,800.0,70000.0,0.6,14649.47,0,9,0,0,0,1,1,13849.47
550216-47-5996,IQQ5349,52,22,15,Perodua Myvi,0,300.0,50000.0,0.63,12941.6,0,4,1,0,0,2,1,12641.6
040611-99-3861,QMT7470,49,45,11,Perodua Myvi,0,800.0,50000.0,0.73,15704.74,0,2,1,0,1,2,1,14904.74
521107-50-0893,RFZ4527,47,3,1,Perodua Myvi,0,300.0,50000.0,0.53,7987.81,1,2,0,0,0,2,1,7687.81
910830-51-2759,JWS1487,42,11,3,Mazda 3,0,500.0,130000.0,0.61,38636.59,0,7,0,1,0,2,1,38136.59
590327-90-9058,YER3130,26,3,0,Perodua Myvi,1,800.0,50000.0,0.49,11399.68,0,8,1,0,0,1,0,0.0
560428-80-9745,WNP2338,32,4,19,Perodua Myvi,0,200.0,50000.0,0.5,12302.53,0,7,0,0,0,1,1,12102.53
870818-61-7349,PXA3533,43,184,8,Toyota Vios,0,300.0,75000.0,0.42,15229.6,0,9,1,0,1,0,1,14929.6
620529-32-0706,DPD8399,34,42,10,Perodua Myvi,0,800.0,50000.0,0.67,13259.44,0,5,1,0,0,0,1,12459.44
480121-83-2224,MQX8797,47,7,7,Proton X70,0,300.0,110000.0,0.53,21430.34,0,4,1,0,0,0,1,21130.34
730428-91-9664,RQX1077,28,3,5,Perodua Myvi,0,800.0,50000.0,0.68,15942.77,0,2,1,0,0,1,1,15142.77
570608-47-3498,HZV4618,45,3,2,Proton X70,0,200.0,110000.0,0.45,18677.09,1,4,0,0,2,1,1,18477.09
560503-86-5105,FTP1094,32,13,1,Proton X70,0,800.0,110000.0,0.53,25903.25,0,3,0,0,3,3,1,25103.25
551222-85-9935,OHA3751,44,12,4,Proton X70,1,800.0,110000.0,0.67,36292.23,0,6,1,0,1,3,1,35492.23
811128-85-3863,IQV9292,51,137,20,Perodua Myvi,0,300.0,50000.0,0.58,14141.82,0,2,1,0,0,1,1,13841.82
060805-10-1496,MDJ3145,27,0,13,Perodua Myvi,0,300.0,50000.0,0.41,8533.26,0,2,1,0,0,0,1,8233.26
601116-01-8573,RHI1313,33,47,12,Mazda 3,0,200.0,130000.0,0.61,33406.22,0,6,0,0,1,0,1,33206.22
930915-10-9008,LNO7472,53,46,12,Toyota Vios,0,1000.0,75000.0,0.48,16102.82,0,5,0,0,1,0,1,15102.82
031117-02-9592,POE8493,50,56,1,Perodua Myvi,0,1000.0,50000.0,0.76,16350.42,0,7,0,0,0,3,1,15350.42
720221-87-9110,NRF4963,43,40,3,Proton X70,0,1000.0,110000.0,0.65,22621.18,1,4,1,0,1,3,1,21621.18
620302-42-9917,EVO5376,31,4,7,Proton X70,0,200.0,110000.0,0.42,14826.11,0,3,1,0,0,0,1,14626.11
551208-13-1829,DRO4501,33,125,4,Proton X70,0,800.0,110000.0,0.65,33353.83,0,4,0,0,0,1,1,32553.83
660215-06-5781,KWI6606,41,3,2,Honda City,0,500.0,80000.0,0.71,20601.07,1,3,0,0,0,2,1,20101.07
740616-18-6551,UXV6956,51,1,0,Proton X70,0,800.0,110000.0,0.68,33855.32,0,4,0,0,0,1,1,33055.32
700208-40-3056,YLN7392,38,18,14,Perodua Myvi,1,200.0,50000.0,0.65,14096.44,1,7,1,0,0,4,0,0.0
440902-68-5134,CVE1095,37,0,6,Proton X70,0,200.0,110000.0,0.49,24184.0,0,7,1,0,0,0,1,23984.0
530526-65-2475,DWW6074,28,6,15,Toyota Vios,0,300.0,75000.0,0.72,22836.61,0,3,1,0,0,1,1,22536.61
001021-63-5043,QPK0636,36,9,20,Perodua Myvi,0,500.0,50000.0,0.6,14554.15,1,3,1,0,0,0,1,14054.15
900904-09-0225,GBB6520,29,37,2,Perodua Myvi,0,1000.0,50000.0,0.67,15160.26,1,6,1,0,2,1,1,14160.26
440717-61-9412,VAT3799,43,9,5,Proton X70,0,500.0,110000.0,0.72,33700.6,0,4,1,0,3,1,1,33200.6
470320-73-4380,BSZ4081,54,11,7,Nissan Almera,0,300.0,70000.0,0.5,15306.61,0,5,1,0,0,1,1,15006.61
470620-85-2056,GXH5874,27,5,6,Perodua Myvi,1,200.0,50000.0,0.7,16467.54,0,6,0,0,1,0,0,0.0
060225-23-8147,MOK0897,41,36,14,Perodua Myvi,0,200.0,50000.0,0.78,19481.75,0,3,1,0,0,2,1,19281.75
691003-67-7148,ZCI0586,51,52,8,Perodua Myvi,0,800.0,50000.0,0.71,17163.72,1,5,0,0,2,1,1,16363.720000000001
570105-55-3571,DEZ7200,50,7,10,Nissan Almera,0,500.0,70000.0,0.53,15465.7,0,6,1,0,0,1,1,14965.7
030502-18-2538,CVC8843,48,19,2,Proton X70,0,500.0,110000.0,0.47,17724.75,1,4,1,0,1,2,1,17224.75
500707-18-9810,HDI7903,40,64,7,Proton X70,0,500.0,110000.0,0.66,24549.39,0,7,1,0,1,0,1,24049.39
610605-55-6479,TUR7328,55,12,9,Perodua Myvi,0,300.0,50000.0,0.5,12187.16,1,9,1,0,0,2,1,11887.16
450811-23-6369,APA3671,51,6,10,Toyota Vios,0,1000.0,75000.0,0.71,18780.85,1,5,1,0,1,1,1,17780.85
011110-73-1044,QCT7382,22,36,4,Proton X70,0,200.0,110000.0,0.53,17534.19,0,5,0,0,0,1,1,17334.19
500826-78-4079,HOZ3299,18,0,4,Proton X70,0,200.0,110000.0,0.57,24667.11,0,4,0,0,0,0,1,24467.11
590829-47-9616,NLE0378,27,5,10,Perodua Myvi,0,500.0,50000.0,0.68,14316.62,0,3,1,0,1,1,1,13816.62
940421-90-7542,KTD1886,55,5,6,Proton X70,0,200.0,110000.0,0.65,31914.1,0,3,0,0,2,1,1,31714.1
000321-55-3072,PGU1305,54,11,6,Proton X70,0,1000.0,110000.0,0.49,20871.59,1,4,1,0,0,0,1,19871.59
860510-82-1919,YNJ8301,59,3,0,Perodua Myvi,0,500.0,50000.0,0.77,13705.93,0,8,0,0,0,0,0,0.0
780128-77-4520,NXJ6396,46,44,13,Nissan Almera,0,500.0,70000.0,0.51,15855.54,0,3,1,0,1,1,1,15355.54
540411-48-6684,RXG6232,46,37,2,Proton X70,0,200.0,110000.0,0.72,35840.22,0,4,1,0,0,0,1,35640.22
840601-03-8918,ENG8521,32,15,19,Perodua Myvi,0,300.0,50000.0,0.78,12004.86,0,5,1,0,1,1,1,11704.86
510317-02-0672,CDJ6806,38,69,20,Perodua Myvi,0,300.0,50000.0,0.69,15672.76,0,7,1,0,2,2,1,15372.76
760902-48-0629,DCG6245,57,5,2,Proton X70,0,200.0,110000.0,0.56,25062.25,0,4,0,0,0,1,1,24862.25
950323-02-1883,ILK6327,42,43,4,Perodua Myvi,0,200.0,50000.0,0.77,14942.09,0,6,1,0,2,1,1,14742.09
510526-51-0382,BFD8070,23,6,0,Proton X70,0,500.0,110000.0,0.61,28246.12,1,6,1,0,0,0,1,27746.12
910105-24-5484,RBC9623,31,7,2,Proton X70,0,1000.0,110000.0,0.46,19219.58,0,5,0,0,0,0,1,18219.58
540808-89-4539,XNI7975,70,15,0,Proton X70,1,200.0,110000.0,0.41,19934.43,0,6,1,0,0,0,1,19734.43
880804-16-1285,RRP8871,51,8,13,Perodua Myvi,0,300.0,50000.0,0.49,11441.21,1,2,1,0,0,1,1,11141.21
990804-82-6783,NAL5250,18,0,5,Proton X70,0,800.0,110000.0,0.78,27017.78,0,6,1,0,0,4,1,26217.78
700325-01-1848,BDU2482,41,57,8,Perodua Myvi,0,300.0,50000.0,0.67,15736.31,1,4,1,0,0,0,1,15436.31
761117-98-2612,FDZ3830,45,46,3,Perodua Myvi,0,500.0,50000.0,0.57,10478.54,0,2,0,0,0,1,1,9978.54
600102-37-5246,VFR4007,19,5,16,Honda City,0,1000.0,80000.0,0.72,27335.55,1,4,0,0,2,1,0,0.0
800617-73-7178,EJJ0472,25,14,14,Honda City,0,200.0,80000.0,0.79,29632.58,0,4,1,0,0,1,1,29432.58
721208-10-0130,LCB9750,43,16,14,Honda City,0,800.0,80000.0,0.49,16979.25,0,7,0,0,2,2,1,16179.25
900617-17-5674,GHP8986,42,1,8,Perodua Myvi,0,1000.0,50000.0,0.44,10782.81,0,12,0,0,0,0,0,0.0
621207-88-8080,SRJ6451,32,21,11,Perodua Myvi,0,500.0,50000.0,0.59,11790.42,0,4,0,0,0,1,1,11290.42
881112-16-3573,ULO9119,43,3,16,Mazda 3,1,800.0,130000.0,0.63,37571.63,1,5,0,0,0,1,0,0.0
720621-38-2891,PVQ5748,56,21,7,Proton X70,0,1000.0,110000.0,0.5,26562.3,0,6,1,0,1,0,1,25562.3
031119-11-0940,QHZ3432,27,23,7,Proton X70,0,500.0,110000.0,0.78,29246.61,1,5,0,0,0,1,1,28746.61
871016-30-8510,WZB0138,34,7,17,Honda City,0,800.0,80000.0,0.41,10888.29,0,2,0,0,1,1,1,10088.29
820524-38-5685,QXW4131,25,62,6,Honda City,0,1000.0,80000.0,0.53,20408.0,0,2,1,0,2,1,1,19408.0
680222-82-3746,SLI2987,50,3,2,Proton X70,0,1000.0,110000.0,0.54,24709.4,0,4,1,0,0,2,1,23709.4
770729-02-1689,XNI4617,37,21,4,Perodua Myvi,0,800.0,50000.0,0.52,9462.54,0,3,0,0,1,0,1,8662.54
810429-17-5119,EFB7528,52,7,6,Toyota Vios,0,300.0,75000.0,0.56,17750.93,0,1,1,0,1,1,1,17450.93
960909-36-1629,MEX5447,18,0,10,Perodua Myvi,0,300.0,50000.0,0.7,14750.6,0,10,1,0,0,1,1,14450.6
441129-87-4433,OBP5511,64,19,6,BMW 3 Series,1,200.0,250000.0,0.53,45345.09,0,3,1,0,1,0,1,45145.09
750111-95-7612,NKU1530,44,0,6,Toyota Vios,0,500.0,75000.0,0.65,16559.04,0,7,1,0,0,1,1,16059.04
611213-58-7015,ZMR5089,31,5,13,Nissan Almera,0,800.0,70000.0,0.46,10862.59,0,1,0,0,0,0,1,10062.59
750331-58-0731,GMF4400,37,27,5,Perodua Myvi,0,500.0,50000.0,0.44,8994.15,0,2,1,0,0,1,1,8494.15
810701-94-7461,MWF6992,37,7,7,Toyota Vios,0,200.0,75000.0,0.61,16755.68,0,8,1,0,1,1,1,16555.68
020226-60-1805,JBT8986,51,36,13,Toyota Vios,0,800.0,75000.0,0.48,16285.99,0,4,1,0,0,2,1,15485.99
991109-99-5473,WBK2803,18,0,16,Perodua Myvi,0,1000.0,50000.0,0.57,9031.67,0,4,0,0,0,0,0,0.0
531227-60-7951,FTT4850,25,45,7,Nissan Almera,0,300.0,70000.0,0.77,19176.42,0,3,1,0,0,0,1,18876.42
580502-94-6951,ISW6035,36,48,9,Nissan Almera,0,1000.0,70000.0,0.54,17968.16,0,3,1,0,0,1,1,16968.16
840818-87-8553,GQS3067,39,1,7,Proton X70,0,300.0,110000.0,0.62,27688.21,0,6,1,0,1,0,1,27388.21
880104-83-7872,MKU9795,53,13,2,Honda City,0,800.0,80000.0,0.63,15916.46,0,3,0,0,1,2,1,15116.46
940914-13-7556,MTA9138,18,0,1,Perodua Myvi,0,200.0,50000.0,0.79,16748.8,0,3,1,0,1,2,1,16548.8
990214-45-9016,LTF1415,56,44,1,Perodua Myvi,0,1000.0,50000.0,0.56,10126.93,0,6,1,0,0,2,1,9126.93
671201-50-9874,TNZ4820,49,90,7,Proton X70,0,1000.0,110000.0,0.62,23101.23,1,5,0,0,1,3,1,22101.23
901109-12-4780,QBJ3969,61,48,13,Perodua Myvi,0,1000.0,50000.0,0.77,15635.56,0,6,1,0,1,2,1,14635.56
730226-57-0638,QFO0875,29,1,7,Proton X70,0,500.0,110000.0,0.79,36133.48,0,3,1,0,2,4,1,35633.48
890714-62-1596,JDP9408,39,2,5,Proton X70,1,200.0,110000.0,0.68,22503.44,0,4,1,0,0,0,0,0.0
860620-05-7874,KTR9240,18,0,9,Perodua Myvi,1,800.0,50000.0,0.63,9759.93,0,6,1,1,0,2,0,0.0
841210-43-9012,HNJ9902,75,3,13,Mazda 3,0,1000.0,130000.0,0.5,30723.11,0,7,1,0,0,0,1,29723.11
940627-40-3923,BWY1403,49,26,15,Perodua Myvi,0,1000.0,50000.0,0.77,16161.87,0,6,0,0,0,1,1,15161.87
890103-93-9013,YVV0019,45,5,4,Proton X70,0,200.0,110000.0,0.68,25523.61,0,4,1,0,0,0,1,25323.61
680623-72-1675,VEJ4413,30,5,2,Proton X70,0,200.0,110000.0,0.47,17874.07,0,7,1,0,1,1,1,17674.07
670223-44-7786,DUL9021,23,40,11,Perodua Myvi,0,500.0,50000.0,0.49,11640.6,0,7,1,0,1,1,1,11140.6
590418-59-9267,TTO1854,38,67,15,Perodua Myvi,0,200.0,50000.0,0.72,12387.81,0,8,0,0,0,3,1,12187.81
911125-30-6720,GTD4320,48,22,6,Proton X70,0,800.0,110000.0,0.78,35627.14,0,2,0,0,0,2,1,34827.14
741122-28-6144,DFB8034,58,0,0,Proton X70,0,300.0,110000.0,0.45,17359.14,0,6,0,0,1,1,1,17059.14
040324-05-1746,BHZ2243,47,22,2,Proton X70,0,200.0,110000.0,0.71,33396.81,0,8,1,0,0,0,1,33196.81
070329-60-0461,PTM6386,54,8,5,Perodua Myvi,0,500.0,50000.0,0.44,9390.88,0,6,1,0,1,0,1,8890.88
021219-17-4945,EYH5905,33,6,0,Proton X70,0,300.0,110000.0,0.58,19148.62,1,3,0,0,0,4,1,18848.62
510429-06-3196,OPG0135,31,0,15,Perodua Myvi,0,800.0,50000.0,0.71,17273.28,0,3,1,0,1,1,1,16473.28
740505-07-0448,DTJ2234,24,10,11,Perodua Myvi,0,800.0,50000.0,0.74,13923.11,0,7,1,0,0,3,1,13123.11
531118-31-7695,SMG3277,55,3,13,Nissan Almera,0,300.0,70000.0,0.54,17651.8,0,7,0,0,1,2,1,17351.8
660907-60-4637,SLI4474,44,11,16,Perodua Myvi,1,800.0,50000.0,0.78,15923.69,0,5,1,0,1,1,1,15123.69
030308-18-3148,REY1347,23,11,8,Perodua Myvi,0,1000.0,50000.0,0.53,9038.74,1,4,1,0,0,1,1,8038.74
860531-65-6316,JEP9783,39,0,6,Honda City,0,200.0,80000.0,0.74,25618.95,0,3,1,0,0,1,1,25418.95
510925-68-9667,FIY5635,45,109,18,Perodua Myvi,0,300.0,50000.0,0.76,14798.62,0,6,0,0,0,0,1,14498.62
780117-27-3507,HPS9203,44,8,7,Perodua Myvi,0,1000.0,50000.0,0.64,10355.71,0,4,0,0,3,0,1,9355.71
920331-84-1277,MSP4982,49,52,11,Mazda 3,0,200.0,130000.0,0.62,27249.81,1,6,0,0,1,4,1,27049.81
961104-15-7383,OFF2993,55,29,1,Proton X70,0,800.0,110000.0,0.47,19383.9,0,9,0,0,0,2,1,18583.9
001023-20-1731,MWQ5149,36,11,2,Perodua Myvi,0,800.0,50000.0,0.65,15394.44,0,2,1,0,0,0,1,14594.44
970118-11-5175,DZK5900,38,30,10,Perodua Myvi,0,300.0,50000.0,0.74,14605.38,0,6,1,0,1,0,1,14305.38
050913-23-4465,PNW0521,32,42,9,Toyota Vios,0,1000.0,75000.0,0.66,15445.38,0,6,1,0,1,0,1,14445.38
760714-58-8883,DQP3314,36,16,1,Perodua Myvi,0,300.0,50000.0,0.57,11815.52,0,6,0,0,0,0,1,11515.52
920215-87-8484,WRC6099,58,43,3,Perodua Myvi,0,1000.0,50000.0,0.42,8833.57,0,5,1,0,0,0,1,7833.57
480425-56-9471,WLX1639,31,9,4,Proton X70,0,200.0,110000.0,0.42,21718.3,1,3,0,0,0,0,0,0.0
961222-28-3862,DBR5739,54,5,2,Proton X70,0,200.0,110000.0,0.73,35111.79,0,5,0,0,0,2,1,34911.79
981124-63-8809,FQB3367,51,53,8,Perodua Myvi,0,200.0,50000.0,0.63,14392.23,1,3,1,0,0,0,1,14192.23
610110-74-5123,EEZ7648,39,10,17,Perodua Myvi,0,800.0,50000.0,0.75,14386.01,1,4,1,0,0,0,1,13586.01
010811-93-4067,FFV2442,42,12,12,Honda City,0,800.0,80000.0,0.41,12493.21,0,5,1,0,1,3,1,11693.21
610220-65-3058,RGX4618,46,15,2,Perodua Myvi,0,1000.0,50000.0,0.62,10490.98,0,10,0,0,0,3,1,9490.98
771013-40-7915,VPL0139,48,7,1,Perodua Myvi,0,200.0,50000.0,0.52,8763.09,0,2,0,0,1,2,1,8563.09
030116-48-9798,RQB9013,56,38,15,BMW 3 Series,0,1000.0,250000.0,0.58,55847.27,1,7,1,0,0,2,1,54847.27
661222-17-3471,KBK9163,26,17,0,Toyota Vios,0,300.0,75000.0,0.57,14165.65,1,5,1,1,0,1,1,13865.65
840924-93-0934,JVZ0054,34,3,7,Perodua Myvi,0,1000.0,50000.0,0.47,7430.11,0,5,0,0,0,2,1,6430.11
470707-60-1610,NUI1196,39,5,18,Perodua Myvi,0,300.0,50000.0,0.61,9521.28,0,6,1,0,1,0,1,9221.28
070105-89-6165,GDS6424,34,21,2,Proton X70,0,800.0,110000.0,0.43,18376.17,0,7,1,0,1,1,1,17576.17
770816-15-6473,GZR7841,54,7,2,Proton X70,0,200.0,110000.0,0.53,20063.27,1,3,1,0,0,0,1,19863.27
981218-02-0179,XCD7024,33,57,23,BMW 3 Series,0,300.0,250000.0,0.75,74747.61,1,9,1,0,0,0,0,0.0
490602-42-6640,JIU4000,35,50,5,Proton X70,0,500.0,110000.0,0.63,21633.87,0,6,1,0,1,2,1,21133.87
940925-56-5345,EWV8755,39,18,5,Perodua Myvi,0,800.0,50000.0,0.52,9300.58,1,6,1,0,1,2,1,8500.58
500130-27-3943,LSA0962,55,70,4,Perodua Myvi,0,800.0,50000.0,0.57,13853.83,1,3,1,0,2,0,1,13053.83
700329-62-7684,PYV4822,34,32,0,Perodua Myvi,0,1000.0,50000.0,0.63,12488.79,1,2,0,0,0,2,1,11488.79
790626-46-7499,ELS9978,33,7,2,Proton X70,0,200.0,110000.0,0.8,41968.95,1,14,1,0,2,1,1,41768.95
821212-34-4531,VWR9512,42,6,13,Perodua Myvi,0,1000.0,50000.0,0.66,12502.15,0,7,0,0,2,1,1,11502.15
900208-88-7108,VLQ9668,48,1,4,Proton X70,0,500.0,110000.0,0.57,24116.94,0,4,1,0,0,0,1,23616.94
050220-81-2447,KAU2830,18,0,6,Nissan Almera,0,800.0,70000.0,0.57,12165.35,0,6,0,1,0,1,1,11365.35
790121-86-4215,SXH3256,55,56,12,Perodua Myvi,0,300.0,50000.0,0.57,13652.47,0,3,0,0,0,0,1,13352.47
070416-66-4672,NXX6697,48,11,14,Toyota Vios,0,500.0,75000.0,0.71,21205.27,0,4,1,0,1,1,1,20705.27
850525-26-1067,OUE3169,34,8,1,Honda City,0,300.0,80000.0,0.49,18107.57,0,10,1,1,1,1,1,17807.57
